               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.021255,           0.0094302,                   0,             0.91579,             0.89138,             0.94959,             0.73888,              0.0177,           0.0057556,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.021165,           0.0097977,                   0,             0.91634,             0.89777,             0.94606,             0.74854,            0.017494,           0.0053989,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.020743,           0.0095603,                   0,             0.91876,             0.85246,             0.95372,             0.74426,            0.018233,            0.005534,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.021002,             0.00938,                   0,             0.95246,             0.86066,             0.94911,             0.74083,            0.018211,           0.0059605,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.020814,           0.0093066,                   0,             0.91631,             0.89752,             0.95751,             0.72598,            0.019097,           0.0056098,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.020295,           0.0092097,                   0,             0.94381,             0.86066,             0.94307,             0.73048,             0.01818,           0.0061019,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019894,           0.0093242,                   0,             0.93571,             0.88525,             0.96014,             0.74129,            0.017479,           0.0054708,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.019701,           0.0093358,                   0,             0.90972,             0.90851,             0.96258,             0.74019,            0.017872,           0.0055203,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.019445,           0.0089178,                   0,               0.892,             0.92623,             0.96914,              0.7542,            0.017481,           0.0053064,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.020742,           0.0097894,                   0,             0.91517,             0.88429,             0.96146,             0.74843,            0.017141,           0.0055257,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020087,           0.0088541,                   0,             0.91585,             0.89205,              0.9491,             0.74421,            0.017142,           0.0058045,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020162,           0.0094913,                   0,             0.92992,             0.87012,             0.94948,             0.74352,            0.017543,           0.0060643,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.019146,           0.0088546,                   0,             0.93707,             0.90164,             0.94431,             0.75388,            0.017172,           0.0058295,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019274,           0.0088487,                   0,             0.92074,             0.88525,              0.9392,             0.72941,            0.017751,           0.0058727,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.018857,           0.0085089,                   0,             0.90757,             0.88533,             0.95245,             0.74728,            0.017387,           0.0056725,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.019244,           0.0090183,                   0,             0.92868,             0.87705,             0.94998,             0.73984,            0.017731,           0.0058862,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.018745,           0.0085832,                   0,             0.93677,             0.90164,             0.96155,             0.74564,            0.017139,           0.0052892,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.019381,           0.0089286,                   0,             0.93665,             0.88525,             0.95206,             0.74491,            0.017955,           0.0057616,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018475,           0.0088654,                   0,             0.92011,             0.89344,             0.94385,             0.74713,             0.01704,           0.0059253,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018507,           0.0081027,                   0,             0.92361,             0.89194,             0.94924,             0.74228,            0.017577,           0.0058476,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019342,           0.0086537,                   0,             0.93798,             0.86783,             0.96263,             0.75017,            0.017148,            0.005451,                   0,            0.002575,            0.002575,            0.002575
